Date/Time,Base,Lat,Lon,Hour,Day,cluster_kmeans,Lat_original,Lon_original,hora,periodo,faixa_dia,faixa_lat,faixa_lon,distancia_media_5vizinhos,anomalia_distancia
2014-05-01 06:10:00,B02512,0.4213098729227695,0.2618824929852863,0.2608695652173913,1,3,40.76,-74.0361,6,manha,01-05,centro_norte,oeste,0.3807446974502017,False
2014-05-01 06:11:00,B02512,0.3736559139784887,0.2769322336536035,0.2608695652173913,1,3,40.721,-74.0007,6,manha,01-05,sul,oeste,0.18086342778704564,False
2014-05-01 06:12:00,B02512,0.4045698924731127,0.2643907830966761,0.2608695652173913,1,3,40.7463,-74.0302,6,manha,01-05,centro_sul,oeste,0.26934541017005553,False
2014-05-01 06:13:00,B02512,0.3399315738025379,0.3500977808009544,0.2608695652173913,1,2,40.6934,-73.8286,6,manha,01-05,sul,leste,0.9801169705224883,True
2014-05-01 06:14:00,B02512,0.4027370478983343,0.2857750191310266,0.2608695652173913,1,3,40.7448,-73.9799,6,manha,01-05,centro_sul,centro_leste,0.20713255584532356,False
2014-05-01 06:14:00,B02512,0.4389051808406634,0.3003571124904347,0.2608695652173913,1,3,40.7744,-73.9456,6,manha,01-05,norte,leste,0.15589592452710202,False
2014-05-01 06:16:00,B02512,0.2614858260019517,0.3197857325057391,0.2608695652173913,1,2,40.6292,-73.8999,6,manha,01-05,sul,leste,0.9990229900138903,True
2014-05-01 06:17:00,B02512,0.4415933528836788,0.2853498852138401,0.2608695652173913,1,3,40.7766,-73.9809,6,manha,01-05,norte,centro_leste,0.15487793796016103,False
2014-05-01 06:17:00,B02512,0.4270527859237489,0.2864552333985166,0.2608695652173913,1,3,40.7647,-73.9783,6,manha,01-05,norte,centro_leste,0.13869458677114488,False
2014-05-01 06:18:00,B02512,0.4364613880742851,0.2970835813281169,0.2608695652173913,1,3,40.7724,-73.9533,6,manha,01-05,norte,leste,0.1496866328172996,False
2014-05-01 06:19:00,B02512,0.3765884652981413,0.284542130771193,0.2608695652173913,1,3,40.7234,-73.9828,6,manha,01-05,sul,centro_leste,0.21223389327139092,False
2014-05-01 06:19:00,B02512,0.4265640273704747,0.2789728764560806,0.2608695652173913,1,3,40.7643,-73.9959,6,manha,01-05,norte,centro_oeste,0.19879816033840064,False
2014-05-01 06:21:00,B02512,0.3913734115347012,0.2758268854689234,0.2608695652173913,1,3,40.7355,-74.0033,6,manha,01-05,centro_sul,oeste,0.1567808838887404,False
2014-05-01 06:25:00,B02512,0.4436705767350943,0.2963608536689044,0.2608695652173913,1,3,40.7783,-73.955,6,manha,01-05,norte,leste,0.1630934903156232,False
